,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_OFFICE_ST,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_ICI,CAND_STATUS,CAND_PCC,CAND_CITY,CAND_ST,CAND_ZIP,candidatevotes,totalvotes,VOTE_percent,WINNER
1,H6VA04061,"MCEACHIN, ASTON DONALD MR.",DEM,2016,VA,H,4.0,C,C,C00610964,HENRICO,VA,23227.0,200136,346656,0.577333148712268,1
2,H4NJ10085,"FRASER, AARON WALTER",DEM,2016,NJ,H,10.0,C,N,C00668566,JERSEY CITY,NJ,7305.0,1746,222771,0.007837644935830966,0
3,H0CA27085,"SCHIFF, ADAM",DEM,2016,CA,H,28.0,I,C,C00343871,LOS ANGELES,CA,90017.0,210883,270409,0.7798667943744476,1
4,H0IL11052,"KINZINGER, ADAM",REP,2016,IL,H,16.0,I,C,C00458877,CHANNAHON,IL,604105623.0,259722,259853,0.9994958688181395,1
6,H6WA09025,"SMITH, D ADAM",DEM,2016,WA,H,9.0,I,C,C00304709,RENTON,WA,98057.0,205165,281482,0.7288743152315246,1
7,H6TN08326,"MONTAGUE, ADRIAN",IND,2016,TN,H,8.0,O,N,C00619221,JACKSON,TN,38301.0,2497,282733,0.008831653892541726,0
8,H6NE03115,"SMITH, ADRIAN",REP,2016,NE,H,3.0,I,C,C00412890,SCOTTSBLUFF,NE,693614586.0,226720,226720,1.0,1
9,H2NY13096,"ESPAILLAT, ADRIANO",DEM,2016,NY,H,13.0,O,C,C00593525,NEW YORK,NY,10034.0,207194,255239,0.8117646597894522,1
10,H6CA34229,"EDWARDS, ADRIENNE NICOLE",DEM,2016,CA,H,34.0,C,N,C00612242,LONG BEACH,CA,90802.0,36314,159156,0.22816607605116992,0
12,H4TX09095,"GREEN, ALEXANDER",DEM,2016,TX,H,9.0,I,C,C00578567,HOUSTON,TX,77054.0,152032,188523,0.8064374108199,1
14,H0FL02086,"LAWSON, ALFRED JR",DEM,2016,FL,H,5.0,C,C,C00460261,TALLAHASSEE,FL,32301.0,194549,302874,0.6423430205299894,1
15,H6OK05251,"MCAFFREY, ALVIS",DEM,2016,OK,H,5.0,C,P,C00592162,OKLAHOMA CITY,OK,73103.0,103273,280570,0.3680828313789785,0
19,H4KS01059,"LAPOLICE, ALAN",DEM,2016,KS,H,1.0,C,C,C00552810,CLYDE,KS,66938.0,67739,257971,0.2625837787968415,0
20,H2CA00104,"LOWENTHAL, ALAN",DEM,2016,CA,H,47.0,I,C,C00498212,LONG BEACH,CA,90803.0,154759,242868,0.6372144539420591,1
22,H6NJ13191,"SIRES, ALBIO",DEM,2016,NJ,H,8.0,I,C,C00410753,WEST NEW YORK,NJ,7093.0,134733,174889,0.7703915054691833,1
23,H2FL23021,"HASTINGS, ALCEE L",DEM,2016,FL,H,20.0,I,C,C00269837,WASHINGTON,DC,20515.0,222914,277560,0.8031200461161551,1
