,CAND_ID,numdonat
0,H0NH02181,135
1,H0IA04145,87
2,S0KS00232,39
3,P00013417,1
4,H0VA03124,3
5,H0MN05210,54
6,H4NY11138,12
7,H0TX11198,8
8,H6KY01110,9
9,S0FL00338,29
10,H0NY17190,20
11,H0AL05163,18
12,H0PA01309,30
13,H8VA01147,18
14,H0TX32079,17
15,H0NV03116,9
16,H0CA25220,1
17,H6TX15162,16
18,P00013433,3
19,H8CA34068,12
20,H6PR00082,45
21,H0NV03132,74
22,H8VA11070,2
23,H0NM02229,107
24,S0MT00173,1436
25,H0NC03172,40
26,H2OH17109,114
27,H0IL03117,1
28,H2TX31044,126
29,H8NJ05136,2
30,H8NJ02166,68
31,H0TX13228,19
32,H2TN07103,66
33,H0CA03078,90
34,H8CA41170,14
35,H0CT02199,26
36,S4SD00049,151
37,H0NY01202,47
38,H0MN04049,26
39,S0WY00160,2
40,H8CA12098,135
41,H0GA07265,3
42,H8TX02166,861
43,S0ID00180,22
44,H0OR02127,20
45,H2CA33048,20
46,H0TX17195,5
47,H2CA20094,266
48,S2TN00058,16
49,S6PA00217,34
50,H4CA11081,96
51,H0CA10073,4
52,H0TX22302,16
53,S2VA00142,41
54,H0KS03244,12
55,H8NY27176,14
56,H0GA07208,6
57,H0CA31129,7
58,S8ID00027,16
59,H0CA18068,17
60,H0CA25113,16
61,H0WI03142,2
62,H6FL07140,65
63,S0NC00327,4
64,H0MI03282,26
65,S8NJ00483,4
66,H0NY17208,12
67,H0SC05056,43
68,H2NV04045,1
69,H0IN08213,8
70,H0NY25094,3
71,S4LA00107,301
72,H0TX13137,3
73,H4NY04075,45
74,S0KY00156,40
75,S0NM00116,2
76,H8CT05245,84
77,H8AL02171,15
78,H0DC00058,14
79,H0NJ05174,17
80,H8NY07046,38
81,H0FL02086,2
82,H8MI08102,309
83,H0FL03159,3
84,H0NY11094,1
85,H0MN03124,33
86,H4PA21069,1
87,H8PA10147,28
88,H0VA11127,9
89,H0WI01120,6
90,H0NY16143,25
91,H0OR05104,5
92,H8MA08170,2
93,H0IN05326,48
94,P00006486,1130
95,H2CA15094,211
96,H0VA05160,28
97,S4IA00129,518
98,H8NM01331,104
99,H4TX10093,333
100,H6LA04138,37
101,H8SC04276,2
102,H0MD01216,2
103,H0GA07299,8
104,H8TX32098,605
105,H0TX01108,24
106,H0OH12179,139
107,H0NC09187,202
108,H0NJ03203,1
109,S8WV00119,33
110,H8SC04250,12
111,H2NY06116,38
112,H6CA44145,7
113,S0TN00144,146
114,H4NJ12149,10
115,H8IL09190,11
116,H8VA05114,75
117,H0FL04157,18
118,H8FL27086,2
119,S8TX00459,110
120,H0FL23108,4
121,H8CA16065,2
122,H0FL19080,49
123,H2AZ09035,49
124,H4NY24073,80
125,P00012039,2
126,H8PA18199,72
127,H2UT04023,3
128,S2ND00099,13
129,S6CA00584,49
130,P00010298,3215
131,P00014209,8
132,H0VA10160,18
133,H0CT05192,1
134,S0AL00156,1314
135,H0FL13125,1
136,H0CA16120,20
137,H6CA05195,23
138,H0WV03151,1
139,S4PA00121,190
140,H8NY19058,100
141,H8MD01094,45
142,S0NJ00258,3
143,H0UT01171,3
144,H6CA44103,38
145,H0OH04093,42
146,H8KS03155,178
147,H8TN06094,32
148,H0CA53131,6
149,H0KY06104,107
150,H0CA22094,2
151,H0OK05262,4
152,H0CA43108,216
153,H8CA29100,2
154,H6FL02208,16
155,H8IL14083,124
156,S0TX00324,5
157,H0WA08103,10
158,H6CA46116,39
159,H0FL22050,1
160,H8TX21307,291
161,S6OR00110,28
162,H0OR02168,159
163,H0AL02152,6
164,H6OH08315,16
165,H0IL14197,6
166,S8MS00196,9
167,H0IL14163,93
168,H0FL17068,2
169,H8CA45130,932
170,S0CO00567,8
171,H8TX06035,15
172,S4MS00120,1
173,H0VA06044,6
174,S8ID00092,85
175,H4TX24094,30
176,H8WI01156,162
177,H0TX24191,6
178,H6NY22098,21
179,S0KY00339,878
180,H8CA22139,1
181,H0IA01174,300
182,S0TX00233,122
183,H0VA04064,1
184,S8MI00281,13
185,H8TX07140,685
186,H8TX22313,581
187,H8IL16153,10
188,H0NY16135,1
189,H4PA13199,31
190,S2WA00189,44
191,H4NY21079,183
192,H6VT00160,5
193,H4IN01012,12
194,H6FL18097,57
195,H4GA12051,10
196,H0CA40138,1
197,H0FL21078,30
198,S6ID00104,2
199,H8TX16109,69
200,S0KS00240,52
201,S2MA00170,13
202,H4NC06052,18
203,H0NY24063,60
204,H8OH05036,56
205,S0TN00169,586
206,H8VA06104,43
207,H6PA02171,3
208,H6GA04129,1
209,H0TX21148,840
210,S6MT00162,21
211,H2IL02172,41
212,H0WA08046,24
213,H8CA08120,23
214,H0TX02080,10
215,H8TX25159,138
216,H8CA10209,154
217,H4IL12060,76
218,H6CA24303,256
219,H8MN03077,1
220,H0MN02134,31
221,S6MN00267,5
222,H0PA13114,3
223,H6PA08277,104
224,H0FL19122,69
225,H6MD03292,65
226,H0TX06099,96
227,H0KS01198,17
228,S6AZ00258,1
229,H6MI01226,38
230,H8GU01046,1
231,H6NE03115,13
232,H8FL03046,23
233,H0MI08141,21
234,H0NY02192,101
235,H0TN07255,9
236,S8ND00120,1
237,H8ND00096,18
238,S6WY00068,31
239,H0GA07323,15
240,H0WI05113,21
241,H0IL14213,8
242,H8NY02104,2
243,H0NC11233,40
244,S8MN00586,1
245,S8VA00297,2
246,H8MA02041,51
247,H8MO08098,4
248,H8NY24090,84
249,H4IA03115,192
250,H8FL06122,40
251,H0OH01081,25
252,H8MN01279,149
253,H0GA07257,20
254,H0MD07106,16
255,H0IL15129,70
256,H0MI03274,2
257,H4WI06048,37
258,H0NY22083,7
259,H2CA43245,130
260,H0NC07124,1
261,H8CA39240,261
262,H0FL26036,74
263,H0TN01134,2
264,H0UT01163,1
265,H0NJ02197,1
266,H8NH01210,127
267,H8CO02269,2
268,H0IL17083,155
269,H6WA04141,2
270,H4GA01039,52
271,H0TX22245,1
272,H2TX03126,12
273,H0NJ07279,25
274,H0KS03137,1
275,H0NY27108,39
276,H0GA12059,1
277,H0NY19196,2
278,H0OR02135,7
279,S0KS00349,19
280,H0PA08221,101
281,H4NJ09095,58
282,H0WA03187,186
283,H0TX22153,4
284,S2WI00219,24
285,H8CA05035,528
286,H0CA50145,7
287,H0MI02201,4
288,H2SC07066,31
289,H0OH04085,1
290,H0KS02188,23
291,S0IL00527,1
292,H0NC03149,80
293,H0NC02133,1
294,H8CO03192,34
295,H8AZ01237,35
296,H8IN04140,1
297,S4NJ00250,2
298,H0CA50111,10
299,H8IA01094,280
300,H2IL13120,140
301,H0NY10146,2
302,H2OH02085,64
303,H0MA10082,4
304,H0GA06168,28
305,H0PA10128,2
306,H4MT01033,15
307,H4FL26038,5
308,H8FL15230,46
309,S2IN00091,3
310,H8KS02199,22
311,H0KS01222,2
312,H0PA08205,3
313,H0IL14080,3
314,H0FL15104,6
315,H6FL09179,7
316,H0CA04175,289
317,H8AL04086,2
318,H0MI07150,28
319,H0NM03110,52
320,H2TX27190,9
321,H0VA10186,27
322,S0IA00200,12
323,H0MA08037,19
324,H0CA52083,10
325,H0NY03083,7
326,H2FL23021,10
327,H0MA04184,16
328,H0IN05250,7
329,H0CA50178,125
330,H6NJ13191,3
331,H6CO01141,23
332,H0TX24175,6
333,H8MA07032,42
334,H8GA13027,3
335,H2CA52089,56
336,S0AR00218,2
337,S0WV00215,33
338,H0SC02061,92
339,H0OR04099,6
340,H4MA03022,13
341,H0LA01087,217
342,S8TN00311,116
343,P00014407,67
