,CAND_ID,numdonat
0,H0NH02181,498
1,H2CA39136,2
2,H4NY11138,25
3,H6IL06117,600
4,H6KY01110,7
5,H8CA07056,8
6,H8NJ07199,12
7,H8TX06183,282
8,H8UT03089,1
9,S0FL00338,524
10,S6NV00028,4
11,H0AL05163,41
12,H6SC07018,33
13,H6TX15162,21
14,H8CA34068,12
15,H8IA02084,4
16,H8TX21166,1
17,H8VA01147,24
18,H2OH17109,117
19,H2TX31044,471
20,H6PR00082,2
21,H8CA39232,6
22,H8CO01154,5
23,H8NJ05136,30
24,H8VA11070,541
25,H0CA03078,230
26,H2TN07103,5
27,H8AZ09024,137
28,H8CA41170,2
29,H8DC01034,2
30,H8NJ02166,249
31,S2ME00109,476
32,S4SD00049,14
33,H0MN04049,30
34,H8AL05190,46
35,H8CA12098,95
36,H8FL06155,1
37,H8NH01178,1
38,H8TX07124,47
39,H8VA08159,5
40,S8TN00352,10
41,H2CA20094,41
42,H2CA33048,12
43,H8TX02166,130
44,S2TN00058,10
45,S8IN00049,2
46,H0CA10073,8
47,H4CA11081,33
48,H4LA05221,6
49,H8NY27176,333
50,H8PA05204,36
51,S2VA00142,2360
52,S6PA00217,4181
53,S8ID00027,28
54,H2FL20043,44
55,H6FL07140,216
56,H6NH01230,8
57,H8MN01253,5
58,H8NC07101,362
59,H2NV04045,379
60,H4NY07102,3
61,H8OH16157,149
62,S4LA00107,61
63,H0DC00058,6
64,H4NY04075,33
65,H4NY19115,1
66,H8CT05245,319
67,H8IN04124,52
68,H8NY07046,88
69,H8TX26124,36
70,H8VA09066,145
71,S0KY00156,26
72,H0FL02086,3
73,H2NV00050,24
74,H4PA21069,535
75,H8AR02159,538
76,H8MI08102,3439
77,H8PA10147,45
78,H2CA15094,214
79,H8CA42228,9
80,H8CA52136,1
81,H8HI00012,17
82,H8MA08170,2
83,H8ND00112,248
84,H8NY19256,2
85,H8TX17149,9
86,H8TX21190,1296
87,H8WA05193,704
88,P00006486,4
89,H4TX10093,93
90,H6LA04138,20
91,H8FL15271,1112
92,H8NM01331,542
93,H8TX11100,27
94,H8TX32098,2673
95,S2VT00136,1
96,S4IA00129,41
97,H2NY06116,39
98,H4NJ12149,556
99,H4PA15087,17
100,H6CA44145,585
101,H8CA36170,105
102,H8GA12078,17
103,H8NJ11217,185
104,H8NY19199,16
105,H8SC04250,21
106,H8TN01079,7
107,S8MS00055,1
108,H0FL19080,84
109,H2AZ09035,343
110,H2UT04023,7810
111,H4NY24073,95
112,H8CA16065,191
113,H8FL27086,297
114,H8OH09111,1
115,H8PA18199,175
116,H8VA05114,177
117,H2IL20042,56
118,H8IN05188,11
119,H8NY27168,1
120,S2ND00099,45318
121,S6CA00584,50
122,H2SD00068,28
123,H6CA05195,12
124,H8CA34126,12
125,P80003338,210
126,S0AL00156,576
127,S4PA00121,66
128,S6MD03458,30
129,S8DE00145,9
130,H6CA44103,216
131,H8CA04210,590
132,H8KS03155,3245
133,H8MD01094,255
134,H8NY19058,65
135,H8PA10204,22
136,P60005915,72
137,H0KY06104,494
138,H6FL02208,14
139,H8TN06094,6
140,H8WI05173,3
141,H6CA46116,16
142,H6OH08315,29
143,H8MN02079,2
144,H8NY02070,4
145,H8NY04084,2
146,H8PA05295,42
147,H8TX21307,445
148,H8TX36024,354
149,H8VA11088,1
150,S6MO00362,32
151,S6OR00110,34
152,H0FL17068,2
153,H0ID01253,4
154,H6KS01179,4
155,H8CA45130,2140
156,H8TX06035,61
157,S8MS00196,381
158,H4TX24094,25
159,H8CA04194,9
160,H8CA22139,6418
161,H8FL19067,92
162,H8PA01237,3
163,H8PA08141,34
164,H8UT01133,5
165,H8WI01156,267
166,S4MS00120,413
167,S8ID00092,16
168,H2NJ02037,2
169,H4PA13199,25
170,H8KS03106,25
171,H8MD03173,8
172,H8MI10108,9
173,H8TX07140,2061
174,H8TX22313,537
175,S8MI00281,2311
176,H4IN01012,58
177,H4NY21079,151
178,H6FL18097,2286
179,H6VT00160,29
180,H8MD02118,11
181,H8MN08084,6
182,H8TX08080,1
183,S2WA00189,12
184,H2IL02172,33
185,H4NC06052,43
186,H6GA04129,6
187,H6PA02171,38
188,H8NH02267,16
189,H8OH05036,37
190,H8TX16109,111
191,H8VA06104,43
192,S2MA00170,16245
193,S6ID00104,1
194,S6MT00162,16670
195,H0WA08046,49
196,H8CA08120,12
197,H8FL04085,21
198,H8IA01128,11
199,H8NJ05110,8
200,H8PA12085,1
201,H8TX25159,67
202,H4IL12060,131
203,H6CA24303,43
204,H8AZ02185,56
205,H8CO06237,2
206,H8MA02116,2
207,H8MN03077,294
208,H8NH01244,8
209,H8TN07068,273
210,S6MN00267,2309
211,S8WI00224,577
212,H6MD03292,277
213,H6MI01226,72
214,H6MO05189,7
215,H6PA08277,261
216,H8GU01046,7
217,H8LA01122,17
218,H8MD07083,5
219,H8NC02110,568
220,H6NE03115,31
221,H2VA06115,9
222,H8IA03157,41
223,H8NC11103,51
224,H8ND00096,114
225,H8NY02104,457
226,S6WY00068,402
227,S8ND00120,1487
228,H4IA03115,188
229,H8FL06122,34
230,H8FL08102,38
231,H8MA02041,120
232,H8MO08098,2
233,H8NY24090,1132
234,H8OH15134,173
235,S8MN00586,1218
236,S8VA00297,1054
237,H8MN01279,1488
238,H8NM02131,4
239,H2CA43245,102
240,H2FL00292,26
241,H4WI06048,60
242,H6MD08507,34
243,H6MI01028,1
244,H8CA39240,256
245,H8UT01158,3
246,H4MT01041,1
247,H8IL12152,2
248,H8IL14158,1
249,H0KS03137,311
250,H2TX03126,512
251,H4GA01039,120
252,H8CO06138,181
253,H8IN09107,1240
254,H8NH01160,6
255,H8NH01210,664
256,H8PA07184,20
257,S0CO00211,13
258,H0WA03187,98
259,H4NJ09095,3
260,H8CA05035,7006
261,S2WI00219,21035
262,S8NJ00509,764
263,H2SC07066,15
264,H8CT05195,11
265,H8CT05237,2
266,H0PA07082,19
267,H8AZ01237,2
268,H8CO03192,955
269,H8CO04091,649
270,H8FL27060,206
271,H8MA03221,3
272,H8NY03151,53
273,H8CA19051,5
274,H8CA42061,244
275,H8OH12263,4
276,H0MA10082,19
277,H2IL13120,129
278,H2OH02085,50
279,H8IA01094,3023
280,S6AZ00225,20
281,S8MO00137,27
282,H0IL14080,98
283,H4FL26038,502
284,H8FL15230,56
285,H8KS02199,115
286,H8TX02117,2
287,P60022654,36
288,S2IN00091,6734
289,S8IN00189,242
290,H6FL09179,62
291,H8GU01020,1
292,H8IL13176,4
293,H2TX27190,71
294,H8IL13168,16
295,H8KS02140,1
296,H8KS03163,2
297,H2FL23021,29
298,H8MN01295,20
299,H8WA08239,21
300,H8WV03055,4
301,H6CO01141,47
302,H6NJ13191,19
303,H8IL08101,13
304,H8MA07032,56
305,H0LA01087,25047
306,H2CA52089,341
307,H4MA03022,57
308,H8CA01190,2
309,S8TN00311,14
310,H2MI05119,25
311,H8AL02197,327
312,H8TN06086,4
313,S0ND00093,3
314,H8CA39133,21
315,H8LA03037,3
316,H8MI13284,1
317,H8MT00101,18
318,H8NH01285,3
319,H8TX23147,22
320,S4VT00033,11909
321,S6NH00091,58
322,H2NV02395,28
323,H2NY17071,110
324,H6MN07304,30
325,H8AZ03159,2
326,H8CA48159,4
327,H8CA50098,1352
328,H8CO02137,6
329,H8GA06211,2
330,H8MA03171,109
331,S0CA00199,873
332,H2CA08164,24
333,H2MA04073,1020
334,H2TX01062,6
335,H6AZ05083,9
336,H6NY19169,448
337,H8CA01257,68
338,H8CO06245,21
339,H8MI09134,6
340,H8NY19181,2408
341,S8WY00197,4
342,H4OK05132,37
343,H8MN05221,2
344,H8NV03176,3
345,S8MD00260,3
346,H0CA19173,171
347,H6FL13205,108
348,H6MI04113,136
349,H6NJ08118,62
350,H8IL16120,33
351,H8IN09081,27
352,H8NJ03073,160
353,H8OH16173,14
354,H8VA02111,1691
355,H8VA04042,1
356,S6UT00063,348
357,S8UT00176,1205
358,H2TX23082,54
359,H4NY27076,6
360,H8CA49090,2
361,H8FL02097,40
362,H8MO02208,811
363,S8IN00213,1
364,H4NC10047,171
365,H8TN02218,8
366,S0OH00133,64
367,S4GA11285,87
368,H2MN08111,7
369,H6GA03113,30
370,H8CA10126,1175
371,H8KY02031,39
372,H8TN02127,3
373,H8TX04162,7
374,S8MS00246,55
375,S8WA00194,1710
376,S8WV00127,115
377,H4UT03211,1
378,H6IN09176,44
379,H8GA01063,55
380,H8KS04112,94
381,H8NM01372,3
382,H4AR04048,44
383,H4FL17037,2
384,H6MN02131,1256
385,H8NJ02224,8
386,H8NY23183,519
387,H8SC04300,5
388,H8WA04089,8
389,H2CA36439,815
390,H8MA03114,35
391,S8FL00166,17203
392,H6IA02161,48
393,H8FL15180,4
394,H6FL04105,2
395,H8AZ02136,24
396,H8IN06129,1104
397,H8NC01104,2
398,H8NY18274,16
399,H0CA48024,30
400,H2IA05072,168
401,H6KY03124,29
402,H6TN08250,3
403,H8AK00140,879
404,H8CO02160,35
405,H8NM02222,19
406,S8WA00319,57
407,H2MD02160,19
408,H4CA23011,92
409,H8IL06139,2458
410,H8NJ02232,67
411,H8NY19249,14
412,H8NY24082,2
413,H8OH13147,7
414,H8SD01105,1
415,H8WA08171,2
416,P00005900,4
417,S0IA00028,4
418,S6OH00163,17710
419,S8TX00285,87589
420,H2SC02059,133
421,H8CA04152,61
422,H8CA45189,127
423,H8KY04169,2
424,H8OH07123,1825
425,H8PA05246,14
426,H8VA07086,16
427,S8NM00226,207
428,H8NJ07181,9
429,H8SC05158,92
430,H8WV03048,1879
431,H6IL11133,4
432,H8NJ04014,233
433,H8PA07192,14
434,H8VA05155,1817
435,P80003353,360
436,S8PA00262,20
437,H0NY13074,10
438,H2OH03125,99
439,H8TX05128,15
440,H0AR03055,44
441,H2MI14111,20
442,H2OK04055,134
443,H8NY12145,8
444,H6TX08100,222
445,H8AL01066,11
446,H8AZ05154,4
447,H8CA45163,1
448,H8CA49082,137
449,H8FL22061,13
450,H8MI06148,3
451,H8MT01182,1664
452,H8OH01118,1552
453,H8WV03097,168
454,H8ME02185,4426
455,S4NE00090,26
456,H2CA31125,1039
457,H8CA39158,25
458,H8FL27193,713
459,H8IL06121,25
460,H8UT03402,3
461,S8AZ00247,4
462,H0IL11052,48
463,H6CO07023,24
464,H6OR03064,78
465,H8AZ01104,2313
466,H8IN03076,26
467,H8NY16096,4
468,H8TN02184,2
469,S6NV00200,54
470,S8AL00340,180
471,H6NY03247,64
472,H8ID02064,87
473,H8IN04199,6
474,H8KS02181,2
475,H8NC02086,4
476,H8NC13067,1303
477,H8NH01152,283
478,H8NY21203,28
479,H8OH16108,15
480,S8PA00270,3
481,H4ME02200,5
482,H6NE02125,149
483,H8CA45148,49
484,H8CA49058,886
485,H8FL27037,3
486,H8GA06393,1254
487,H8SD01097,68
488,H8TX14120,59
489,H8TX16133,3
490,H0IN02190,85
491,H0RI02139,46
492,H2TX29030,1
493,H4GA11061,14
494,H4KS01059,9
495,H8CA50106,35
496,H8FL17053,95
497,H8FL27052,2
498,H8VA10106,2549
499,H8WI06098,888
500,P00003392,686
501,S8WV00143,2832
502,H8CA25082,4
503,H8IL12129,1763
504,H8MN08068,879
505,H8NH02275,150
506,H8TN03208,15
507,S8NM00200,23
508,H0MO01066,12
509,H0OH11072,600
510,H0PA04220,201
511,H2NY22139,134
512,H6NV04020,1849
513,H8MO03198,4
514,H8TX22107,32
515,H8WI05165,16
516,S6TN00216,99
517,H6MD08457,113
518,H8LA06154,2
519,H8MP00041,10
520,H8NM01380,12
521,H8NM02156,285
522,H8NY20056,87
523,H8OH16124,115
524,S2NV00183,4917
525,H6MD08549,45
526,H8GA09058,10
527,H8MI11338,17
528,H8MI12120,5
529,H8MS03067,5
530,H8OH06133,8
531,H8PA07275,9
532,H8SC03070,38
533,H2FL13139,1
534,H8MA09046,32
535,H8NM02248,2429
536,H8PA04116,88
537,H8TX32148,10
538,S0NY00410,4651
539,H0AZ01259,51
540,H0MS04120,29
541,H2GA12121,55
542,H2MO02102,48
543,H2NY10092,64
544,H2OH14064,117
545,H4NE01064,58
546,H8CO06229,1266
547,H8NY01148,772
548,H8PA13133,4
549,H8SC02106,58
550,H8TX02232,4
551,P00006213,6
552,S0IL00261,18
553,S0MO00183,62
554,S0NH00235,9
555,S2HI00106,614
556,S6PA00266,5
557,H4AL06098,5
558,H4MN06087,66
559,H4TX19136,56
560,H8CA39182,30
561,S0WI00197,24
562,H0NY29054,172
563,H2IA01055,603
564,H8OH02124,108
565,S8MO00160,4978
566,H0MI03126,92
567,H4HI01167,5
568,H8CA45155,20
569,H8IL16096,2
570,H8KY02080,50
571,H8MI10116,34
572,H8VA07128,2
573,H2UT01094,179
574,H4MI08135,184
575,H6NC04037,69
576,H6TX12060,108
577,H6WA07458,726
578,H8OK01157,39
579,S6NV00218,1
580,S8OH00144,12
581,H6CO03139,84
582,H8IL01114,2
583,H8IN07150,1
584,H8PA18231,2
585,H4AR02141,190
586,H4ME02234,325
587,H4NC01046,32
588,H6CA34237,164
589,H8KS04088,4
590,H8WI07088,29
591,S8NV00156,64400
592,H6NY13105,2
593,H8AR03074,12
594,H8NY10099,17
595,H2NV04011,717
596,H6TX24149,6
597,H8CA34266,80
598,H0TN03254,22
599,H2TX00015,3
600,H8CA53084,31
601,H8GA13035,2
602,H8MI01149,191
603,H8PA15286,36
604,S0WV00090,1948
605,H0CA27085,1594
606,H0VA02118,2010
607,H2NC08185,106
608,H6MI07223,608
609,H6VA01117,23
610,H8CA08112,1
611,H8FL11130,4
612,H8ND00104,6
613,H8PA06087,2013
614,H8PA15211,1
615,H8UT04053,747
616,H8VA10122,263
617,H8WI03103,6
618,H8AZ08158,269
619,H8FL07070,14
620,H8MA03122,6
621,H8NJ11175,6
622,H8NY19173,57
623,H8TN02200,4
624,S8NY00082,7
625,H6TX06203,3
626,H8IL08119,12
627,P60006111,96
