,CAND_ID,numdonat
0,H8NY21302,4
1,H0NH02181,1353
2,H8TX06183,1164
3,H8NJ07199,43
4,S6NV00028,13
5,H6IL06117,2848
6,H2CA39136,28
7,H8UT03089,1
8,H4NY11138,98
9,H6KY01110,72
10,S0FL00338,819
11,H8CA07056,249
12,H8IA02084,6
13,H0AL05163,227
14,H8TX21166,1
15,H8VA01147,417
16,H6TX15162,285
17,H6SC07018,83
18,H8CA34068,32
19,H6PR00082,20
20,H8CO01154,9
21,H8NH01194,1
22,H8VA11070,712
23,H8NJ05136,247
24,H2OH17109,312
25,H8CA39232,68
26,H2TX31044,494
27,H8MI11270,15
28,H8NJ02166,727
29,H2TN07103,112
30,S2ME00109,1744
31,H0CA03078,2306
32,H8TX22206,1
33,H8CA41170,41
34,S8CA00481,1
35,H8AZ09024,362
36,S4SD00049,29
37,H8DC01034,2
38,H8NH01178,6
39,H8TX21257,2
40,H8AL05190,752
41,H0MN04049,139
42,H8CA12098,407
43,H8FL06155,25
44,H8WA10045,3
45,S8TN00352,315
46,H8TX07124,138
47,H8VA08159,68
48,S8IN00049,2
49,H8TX02166,765
50,H2CA33048,51
51,H2CA20094,649
52,S2TN00058,10
53,S6PA00217,17034
54,S8PA00346,1
55,H4CA11081,725
56,H0CA10073,175
57,S8MO00152,3
58,S2VA00142,13228
59,H8NY27176,2423
60,H8PA05204,166
61,H4LA05221,158
62,S8ID00027,31
63,H8NC07101,1831
64,H2FL20043,104
65,H6FL07140,850
66,H8MN01253,12
67,H8WA08213,2
68,H6NH01230,14
69,H4NY07102,21
70,H8CA36204,2
71,H8OH16157,328
72,H2NV04045,933
73,H8MO06092,7
74,S4LA00107,211
75,H4NY04075,325
76,S0KY00156,28
77,H8IN04124,171
78,H8VA09066,1603
79,H8CT05245,967
80,H0DC00058,39
81,H8NY07046,281
82,H8TX26124,213
83,H4NY19115,1
84,H0FL02086,36
85,H8MI08102,6443
86,H8AR02159,2748
87,H2NV00050,43
88,H8NJ08080,5
89,H6CA53054,2
90,H4PA21069,1642
91,H8PA10147,242
92,H8MA02090,8
93,H8TX02125,10
94,H8TX21190,4581
95,H8CA52136,5
96,H8CA42228,284
97,H8TX17149,151
98,H8WA05193,7541
99,H8ND00112,1036
100,H8HI00012,90
101,H8MA08170,2
102,P00006486,5
103,H2CA15094,1278
104,H8NY19256,2
105,H8TX11100,184
106,H8FL15271,1408
107,S4IA00129,52
108,H8NM01331,1641
109,H4TX10093,368
110,S2VT00136,1
111,H6LA04138,248
112,H8SC04276,6
113,H8TX32098,7309
114,H6VA02115,18
115,H4PA15087,22
116,H8GA12078,293
117,H8NJ11217,890
118,S8MS00055,10
119,H8SC04250,134
120,H8TN01079,249
121,H8NY19199,164
122,H8CA36170,436
123,H2NY06116,300
124,H6CA44145,934
125,H4NJ12149,558
126,H8VA05114,218
127,H8FL27086,1035
128,H8CA16065,721
129,H0FL19080,235
130,H2AZ09035,662
131,H4NY24073,518
132,H8OH09111,41
133,H8PA18199,398
134,H2UT04023,8404
135,S2ND00099,47976
136,S6CA00584,264
137,H8FL12096,13
138,H8NY27168,9
139,H2IL20042,109
140,H8IN05188,297
141,H8CA10183,1
142,P80003338,224
143,S8DE00145,131
144,H8IL09224,14
145,S0AL00156,600
146,H6CA05195,60
147,H8NJ01259,11
148,H2SD00068,101
149,H8CA34126,42
150,S4PA00121,136
151,S6MD03458,39
152,P60005915,73
153,H8CA04210,5284
154,H8NY19058,173
155,H6NY18203,1
156,H8MD01094,635
157,H8PA10204,22
158,H6CA44103,744
159,H8KS03155,5604
160,H8TN06094,140
161,H8WI05173,9
162,H0KY06104,1890
163,H6CO04160,1
164,H6FL02208,109
165,H8TX09146,11
166,S6MO00362,45
167,H8TX36024,1660
168,H6CA46116,95
169,H8VA11088,12
170,H8MN02079,2
171,H8TX21307,1036
172,H8NY02070,56
173,H8PA05295,196
174,S6OR00110,60
175,H8NJ04162,3
176,H6OH08315,175
177,H8NY04084,39
178,S8MS00196,711
179,H0FL17068,11
180,H8CA45130,8925
181,H8MI03053,2
182,H0ID01253,4
183,H8TX06035,62
184,H6KS01179,87
185,H8PA01237,5
186,H8CA04194,76
187,S4MS00120,800
188,H8FL19067,705
189,S8ID00092,17
190,H4TX24094,74
191,H8WI01156,1100
192,H8UT01133,32
193,H8CA22139,21517
194,H8HI01218,49
195,H8PA08141,43
196,H8KS03106,53
197,S8MI00281,7201
198,H8TX07140,5659
199,H8TX22313,1868
200,H8MD03173,23
201,H8IL16153,2
202,H2NJ02037,6
203,H4PA13199,74
204,H8MI10108,72
205,S8RI00177,32
206,H6NY22114,2
207,H6OH09073,4
208,S2WA00189,68
209,H8MD02118,34
210,H8TX08080,15
211,H6TX18158,1
212,H4NY21079,527
213,H6VT00160,88
214,H8MN08084,14
215,H6FL18097,3337
216,H4IN01012,148
217,H8SC07055,1
218,H4CA31071,1
219,S6ID00104,25
220,H8TX16109,397
221,S2MA00170,19887
222,H4NC06052,260
223,H8OH05036,266
224,H8FL03053,1
225,H8VA06104,596
226,H8NH02267,28
227,H6PA02171,227
228,H6GA04129,10
229,S6MT00162,28078
230,H8NJ11167,6
231,H2IL02172,234
232,H8TX25159,1080
233,H0WA08046,496
234,H8CA08120,138
235,H8FL04085,80
236,H8PA12085,2
237,H8IA01128,19
238,H8NJ05110,21
239,H8TN07068,652
240,H8CO06237,6
241,H8CA10209,1
242,H4IL12060,592
243,H6CA24303,999
244,H8MA02116,5
245,S8WI00224,4305
246,H8LA03078,1
247,H8MN03077,974
248,H8AZ02185,502
249,H8NH01244,9
250,S6MN00267,4615
251,H8MD07083,17
252,H6PA08277,789
253,H6MD03292,283
254,H6MO05189,81
255,H8NC02110,1660
256,H6MI01226,324
257,H8GU01046,148
258,H8LA01122,121
259,H6NE03115,95
260,H2VA06115,15
261,H6WI08163,1
262,S8ND00120,2575
263,H8TX07082,15
264,H8NC11103,297
265,H8ND00096,527
266,H8IA03157,54
267,S6WY00068,452
268,H8NY02104,2833
269,H8MO08098,135
270,S8MN00586,3724
271,H8FL08102,383
272,S8VA00297,4240
273,H8MA02041,182
274,H8NY24090,4152
275,H4IA03115,505
276,H8FL06122,50
277,H8OH15134,1270
278,H8NM02131,4
279,H4OK02089,2
280,H8MN01279,2402
281,S8IN00148,10
282,H2FL00292,27
283,H6MD08507,34
284,H4WI06048,813
285,H2CA43245,607
286,H8UT01158,42
287,H8CA39240,1406
288,H6MI01028,1
289,H8CO05122,2
290,H4MT01041,1
291,H8IL12152,32
292,H8IL14158,1
293,H8CA50114,3
294,H8NH01210,2387
295,H8PA07184,32
296,H8CO02269,7
297,H8IN09107,2785
298,H4GA01039,496
299,H8NV03184,12
300,H2TX03126,1651
301,H8CO06138,1301
302,H8NH01160,59
303,H0KS03137,874
304,S0CO00211,13
305,H8VA02103,2
306,H8NM02172,1
307,H8TX21216,9
308,H4NJ09095,3
309,H0WA03187,1113
310,S8NJ00509,1812
311,S2WI00219,37888
312,H8CA05035,11524
313,H8CT05195,35
314,H2SC07066,75
315,H8CT05237,3
316,H8FL17046,1
317,H8LA05099,17
318,H8CO03192,2857
319,H8MA03221,16
320,H8NY03151,138
321,H8AZ01237,35
322,H8FL27060,253
323,H4NY03077,1
324,H8CO04091,1193
325,H8IN04140,1
326,H0PA07082,98
327,H8NM01364,2
328,H8OH12263,4
329,H8CA19051,17
330,H8CA42061,894
331,H8IA01094,4077
332,S8MO00137,37
333,H2IL13120,950
334,S6AZ00225,41
335,H2OH02085,368
336,H0MA10082,222
337,H4FL26038,534
338,H8FL15230,239
339,S2IN00091,15362
340,H8TX02117,6
341,S8IN00189,397
342,H8KS02199,323
343,H8GA09074,1
344,P60022654,36
345,H6CA17141,5
346,H6KS03241,5
347,H0IL14080,695
348,H6FL09179,171
349,H8NY19207,6
350,H8FL16022,2
351,H8IL13176,8
352,H8GU01020,24
353,H2TX27190,157
354,H8SC04342,5
355,H8KS02140,8
356,H8IL13168,24
357,H8KS03163,2
358,H8TN02101,5
359,H2FL23021,29
360,H8MN01295,22
361,H8WA08239,27
362,H8WV03055,6
363,H6NJ13191,122
364,H8IL08101,43
365,H6CO01141,136
366,H8MA07032,252
367,H8GA13027,11
368,H2CA52089,1781
369,H8NV03150,1
370,H8CA01190,5
371,H4MA03022,431
372,H0LA01087,25791
373,S8TN00311,98
374,H4PA12043,4
375,H8IL15072,130
376,H8NY27135,2
377,H8AL02197,585
378,H8TN06086,13
379,H2MI05119,162
380,S8RI00110,6
381,S0ND00093,13
382,H8MA01050,5
383,H8CA39133,23
384,S4VT00033,12338
385,H8MI13284,3
386,H0CA15148,1
387,H8NH01285,6
388,H8MT00101,77
389,H8VA05122,7
390,S6NH00091,64
391,H8TX23147,38
392,H8LA03037,56
393,H6VA07148,1
394,H6CA03067,8
395,H8CA50098,5519
396,H8MA03171,224
397,H8CO02137,24
398,H6MN07304,114
399,H8CA48159,30
400,S0CA00199,3879
401,H2NY17071,872
