,CAND_ST,avgdonation,sumdonation
0,SC,737.6938468158347,3428801.0
1,AZ,251.02937210282343,5956927.0
2,LA,1031.9426727044995,10710533.0
3,MN,445.4152279417615,5598424.0
4,NJ,750.2972245995843,6136681.0
5,DC,842.2212966316552,2325373.0
6,OR,640.3254098360655,3124788.0
7,VA,594.8688368444643,10617219.0
8,RI,672.5470588235294,571665.0
9,KY,847.9415818838202,5167356.0
10,WY,1528.0430379746836,603577.0
11,NH,293.6870189135694,10683159.0
12,MI,544.3959899749374,5430350.0
13,NV,254.4885219819469,15675475.0
14,WI,263.1091958017655,11356056.0
15,ID,836.3158953722334,1662596.0
16,CA,446.07299048923784,33863185.0
17,CT,720.0121712997746,4791681.0
18,NE,617.8189460071128,1910914.0
19,MT,158.71374092754337,2580368.0
20,NC,366.46675133639155,19332587.0
21,VT,632.3455598455598,655110.0
22,MD,563.8693512671205,6875259.0
23,DE,440.6559633027523,288189.0
24,MO,289.93941702214096,11418974.0
25,VI,1082.861111111111,38983.0
26,IL,280.3321802288027,19529902.0
27,ME,391.9333808336302,2200314.0
28,GU,805.4464285714286,90210.0
29,WA,453.062397775597,5540047.0
30,ND,682.1618828932262,594163.0
31,MS,1039.9537892791127,1125230.0
32,AL,1155.2036048064085,1730495.0
33,IN,845.3616288492707,16690820.0
34,OH,454.7219821989282,19260659.0
35,TN,1255.452410383189,2031322.0
36,NM,640.8167064439141,1342511.0
37,IA,416.64400508090796,7544173.0
38,PA,377.9917004313162,28920145.0
39,SD,399.0501449275362,1376723.0
40,NY,106.92855071457238,201692161.0
41,TX,635.8330074942978,15610972.0
42,WV,756.5522788203754,846582.0
43,GA,996.4801392301392,4866809.0
44,AS,1149.4545454545455,88508.0
45,MA,378.39827687487764,3864960.0
46,KS,885.9600903614457,2353110.0
47,,398.2311230512476,9783344.0
48,FL,696.3377908297936,39835396.0
49,CO,380.8756592752226,13431961.0
50,AK,621.40663507109,2622336.0
51,AR,731.7536013760482,3403386.0
52,OK,812.4141791044776,1524089.0
53,PR,903.7523302263648,678718.0
54,MP,840.625,40350.0
55,UT,277.8804746180921,7658108.0
56,HI,707.6771929824562,1411816.0
