,CAND_ST,avgdonation,sumdonation
0,SC,487.20617796219454,5283751.0
1,AZ,318.7126821014403,23168181.0
2,LA,221.69926553059082,6127546.0
3,MN,498.67300090354644,17661003.0
4,NJ,575.8491314553991,24531173.0
5,DC,756.6914175506269,3138756.0
6,OR,370.2696394356384,2125718.0
7,VA,412.5604962342175,26238435.0
8,RI,418.73857239360507,1859618.0
9,KY,527.4884040880503,8051583.0
10,WY,1040.1725978647687,1169154.0
11,NH,455.92169974115615,2113653.0
12,MI,452.0870405727924,18942447.0
13,NV,244.93992524554596,20773600.0
14,WI,314.8148154230163,19170963.0
15,ID,775.565143824027,458359.0
16,CA,421.13447112016814,66130746.0
17,CT,252.98508661812704,5038198.0
18,NE,384.694491766042,3387235.0
19,MT,445.957149682912,20533651.0
20,NC,633.0913096946095,12355410.0
21,VT,63.80382927802154,799781.0
22,MD,1804.2225566572238,10190249.0
23,DE,934.2360616844603,787561.0
24,MO,254.54305481773798,20124683.0
25,VI,868.1818181818181,57300.0
26,IL,427.1425612702796,22273776.0
27,ME,564.7638111888111,6460898.0
28,GU,849.9375,149589.0
29,WA,424.6256448047163,16710293.0
30,ND,257.2394377001707,13413236.0
31,MS,798.6009244992296,3109752.0
32,AL,530.0530104712042,2429763.0
33,IN,580.4433129667345,17954853.0
34,OH,248.12429180947052,21284598.0
35,TN,773.6447006194081,17985692.0
36,IA,488.08473169285503,8231549.0
37,NM,456.10329965378367,6455230.0
38,PA,628.4776125290939,31862558.0
39,SD,500.6174686615447,1238027.0
40,NY,484.2420465968896,32756069.0
41,TX,210.16779852195768,89809324.0
42,WV,721.911906033102,8112846.0
43,GA,230.40766387254646,8850880.0
44,MA,230.20527526874335,6702887.0
45,AS,1284.8837209302326,55250.0
46,KS,567.5372042622358,6284907.0
47,,231.82841823056302,172944.0
48,FL,816.3478088461887,72054123.0
49,CO,519.8668127219158,6881477.0
50,AK,409.71882640586796,1173025.0
51,AR,514.4576178297406,2816141.0
52,OK,727.6937473415568,1710808.0
53,PR,1600.15,32003.0
54,MP,840.9672131147541,102598.0
55,UT,410.2550351426378,6946028.0
56,HI,440.00230718523403,1334967.0
